2066	BOBYQAOptimizer.java	bobyqb	ntrits	int	0	DEF	$ > 0
13568	BOBYQAOptimizer.java	bobyqb	k	int	0	NIL-FOR	$ < npt
13568	BOBYQAOptimizer.java	bobyqb	npt	int	0	NIL-FOR	k < $
13569	BOBYQAOptimizer.java	bobyqb	nptm	int	0	NIL-FOR	j < $
13570	BOBYQAOptimizer.java	bobyqb	k	int	0	NIL-FOR	$ < npt
13570	BOBYQAOptimizer.java	bobyqb	npt	int	0	NIL-FOR	k < $
13571	BOBYQAOptimizer.java	bobyqb	k	int	0	NIL-FOR	$ < npt
13571	BOBYQAOptimizer.java	bobyqb	npt	int	0	NIL-FOR	k < $
13572	BOBYQAOptimizer.java	bobyqb	k	int	0	NIL-FOR	$ < npt
13572	BOBYQAOptimizer.java	bobyqb	npt	int	0	NIL-FOR	k < $
13573	BOBYQAOptimizer.java	bobyqb	j	int	0	NIL-FOR	$ < n
13573	BOBYQAOptimizer.java	bobyqb	n	int	0	NIL-FOR	j < $
13574	BOBYQAOptimizer.java	bobyqb	i	int	0	NIL-FOR	$ < n
13574	BOBYQAOptimizer.java	bobyqb	n	int	0	NIL-FOR	i < $
13575	BOBYQAOptimizer.java	bobyqb	k	int	0	NIL-FOR	$ < npt
13575	BOBYQAOptimizer.java	bobyqb	npt	int	0	NIL-FOR	k < $
13576	BOBYQAOptimizer.java	bobyqb	max	int	0	NIL-FOR	i < $
2071	BOBYQAOptimizer.java	bobyqb	i	int	0	DEF	$ < n
2071	BOBYQAOptimizer.java	bobyqb	n	int	0	DEF	i < $
2072	BOBYQAOptimizer.java	bobyqb	i	int	0	DEF	$ < npt
2072	BOBYQAOptimizer.java	bobyqb	npt	int	0	DEF	i < $
2073	BOBYQAOptimizer.java	bobyqb	nh	int	0	DEF	i < $
2074	BOBYQAOptimizer.java	bobyqb	ntrits	int	0	DEF	$ == 0
13577	BOBYQAOptimizer.java	bobyqb	k	int	0	NIL-FOR	$ < npt
13577	BOBYQAOptimizer.java	bobyqb	npt	int	0	NIL-FOR	k < $
13578	BOBYQAOptimizer.java	bobyqb	j	int	0	NIL-FOR	$ < n
13578	BOBYQAOptimizer.java	bobyqb	n	int	0	NIL-FOR	j < $
2077	BOBYQAOptimizer.java	bobyqb	knew	int	0	DEF	$ >= 0
2078	BOBYQAOptimizer.java	bobyqb	ntrits	int	0	DEF	$ == -1
2080	BOBYQAOptimizer.java	bobyqb	ntrits	int	0	DEF	$ == -1
2081	BOBYQAOptimizer.java	bobyqb	ratio	double	0	DEF	$ > ZERO
2086	BOBYQAOptimizer.java	bobyqb	ntrits	int	0	DEF	$ == -1
13579	BOBYQAOptimizer.java	bobyqb	i	int	0	NIL-FOR	$ < n
13579	BOBYQAOptimizer.java	bobyqb	n	int	0	NIL-FOR	i < $
13580	BOBYQAOptimizer.java	altmov	k	int	0	NIL-FOR	$ < npt
13580	BOBYQAOptimizer.java	altmov	npt	int	0	NIL-FOR	k < $
13581	BOBYQAOptimizer.java	altmov	max	int	0	NIL-FOR	j < $
13582	BOBYQAOptimizer.java	altmov	k	int	0	NIL-FOR	$ < npt
13582	BOBYQAOptimizer.java	altmov	npt	int	0	NIL-FOR	k < $
13583	BOBYQAOptimizer.java	altmov	i	int	0	NIL-FOR	$ < n
13583	BOBYQAOptimizer.java	altmov	n	int	0	NIL-FOR	i < $
13584	BOBYQAOptimizer.java	altmov	k	int	0	NIL-FOR	$ < npt
13584	BOBYQAOptimizer.java	altmov	npt	int	0	NIL-FOR	k < $
13585	BOBYQAOptimizer.java	altmov	j	int	0	NIL-FOR	$ < n
13585	BOBYQAOptimizer.java	altmov	n	int	0	NIL-FOR	j < $
13586	BOBYQAOptimizer.java	altmov	i	int	0	NIL-FOR	$ < n
13586	BOBYQAOptimizer.java	altmov	n	int	0	NIL-FOR	i < $
13587	BOBYQAOptimizer.java	altmov	k	int	0	NIL-FOR	$ < npt
13587	BOBYQAOptimizer.java	altmov	npt	int	0	NIL-FOR	k < $
13588	BOBYQAOptimizer.java	altmov	i	int	0	NIL-FOR	$ < n
13588	BOBYQAOptimizer.java	altmov	n	int	0	NIL-FOR	i < $
13589	BOBYQAOptimizer.java	altmov	i	int	0	NIL-FOR	$ < n
13589	BOBYQAOptimizer.java	altmov	n	int	0	NIL-FOR	i < $
2091	BOBYQAOptimizer.java	altmov	tmp	double	1	DEF	$ > ZERO
13590	BOBYQAOptimizer.java	altmov	i	int	0	NIL-FOR	$ < n
13590	BOBYQAOptimizer.java	altmov	n	int	0	NIL-FOR	i < $
2104	BOBYQAOptimizer.java	altmov	ibdsav	int	0	DEF	$ < 0
2105	BOBYQAOptimizer.java	altmov	ibdsav	int	0	DEF	$ > 0
13591	BOBYQAOptimizer.java	altmov	i	int	0	NIL-FOR	$ < n
13591	BOBYQAOptimizer.java	altmov	n	int	0	NIL-FOR	i < $
2108	BOBYQAOptimizer.java	altmov	tmp1	double	0	DEF	$ > ZERO
13592	BOBYQAOptimizer.java	altmov	i	int	0	NIL-FOR	$ < n
13592	BOBYQAOptimizer.java	altmov	n	int	0	NIL-FOR	i < $
13593	BOBYQAOptimizer.java	altmov	i	int	0	NIL-FOR	$ < n
13593	BOBYQAOptimizer.java	altmov	n	int	0	NIL-FOR	i < $
2114	BOBYQAOptimizer.java	altmov	glagValue	double	1	DEF	$ > ZERO
13594	BOBYQAOptimizer.java	altmov	k	int	0	NIL-FOR	$ < npt
13594	BOBYQAOptimizer.java	altmov	npt	int	0	NIL-FOR	k < $
13595	BOBYQAOptimizer.java	altmov	j	int	0	NIL-FOR	$ < n
13595	BOBYQAOptimizer.java	altmov	n	int	0	NIL-FOR	j < $
2115	BOBYQAOptimizer.java	altmov	iflag	int	0	DEF	$ == 1
13596	BOBYQAOptimizer.java	altmov	i	int	0	NIL-FOR	$ < n
13596	BOBYQAOptimizer.java	altmov	n	int	0	NIL-FOR	i < $
2117	BOBYQAOptimizer.java	altmov	iflag	int	1	DEF	$ == 0
13597	BOBYQAOptimizer.java	altmov	i	int	0	NIL-FOR	$ < n
13597	BOBYQAOptimizer.java	altmov	n	int	0	NIL-FOR	i < $
13598	BOBYQAOptimizer.java	altmov	i	int	0	NIL-FOR	$ < n
13598	BOBYQAOptimizer.java	altmov	n	int	0	NIL-FOR	i < $
13599	BOBYQAOptimizer.java	prelim	j	int	0	NIL-FOR	$ < n
13599	BOBYQAOptimizer.java	prelim	n	int	0	NIL-FOR	j < $
13600	BOBYQAOptimizer.java	prelim	k	int	0	NIL-FOR	$ < npt
13600	BOBYQAOptimizer.java	prelim	npt	int	0	NIL-FOR	k < $
13601	BOBYQAOptimizer.java	prelim	ndim	int	0	NIL-FOR	i < $
13602	BOBYQAOptimizer.java	prelim	max	int	0	NIL-FOR	i < $
13603	BOBYQAOptimizer.java	prelim	k	int	0	NIL-FOR	$ < npt
13603	BOBYQAOptimizer.java	prelim	npt	int	0	NIL-FOR	k < $
13604	BOBYQAOptimizer.java	prelim	max	int	0	NIL-FOR	j < $
13606	BOBYQAOptimizer.java	prelim	j	int	0	NIL-FOR	$ < n
13606	BOBYQAOptimizer.java	prelim	n	int	0	NIL-FOR	j < $
2128	BOBYQAOptimizer.java	prelim	numEval	int	1	DEF	$ == 1
13607	BOBYQAOptimizer.java	trsbox	i	int	0	NIL-FOR	$ < n
13607	BOBYQAOptimizer.java	trsbox	n	int	0	NIL-FOR	i < $
13608	BOBYQAOptimizer.java	trsbox	i	int	0	NIL-FOR	$ < n
13608	BOBYQAOptimizer.java	trsbox	n	int	0	NIL-FOR	i < $
13609	BOBYQAOptimizer.java	trsbox	i	int	0	NIL-FOR	$ < n
13609	BOBYQAOptimizer.java	trsbox	n	int	0	NIL-FOR	i < $
2148	BOBYQAOptimizer.java	trsbox	shs	double	0	DEF	$ > ZERO
13610	BOBYQAOptimizer.java	trsbox	i	int	0	NIL-FOR	$ < n
13610	BOBYQAOptimizer.java	trsbox	n	int	0	NIL-FOR	i < $
2152	BOBYQAOptimizer.java	trsbox	stplen	double	0	DEF	$ > ZERO
2153	BOBYQAOptimizer.java	trsbox	iact	int	0	DEF	$ == -1
2153	BOBYQAOptimizer.java	trsbox	temp	double	0	DEF	$ > ZERO
13611	BOBYQAOptimizer.java	trsbox	i	int	0	NIL-FOR	$ < n
13611	BOBYQAOptimizer.java	trsbox	n	int	0	NIL-FOR	i < $
2156	BOBYQAOptimizer.java	trsbox	iact	int	0	DEF	$ >= 0
13612	BOBYQAOptimizer.java	trsbox	i	int	0	NIL-FOR	$ < n
13612	BOBYQAOptimizer.java	trsbox	n	int	0	NIL-FOR	i < $
13613	BOBYQAOptimizer.java	trsbox	i	int	0	NIL-FOR	$ < n
13613	BOBYQAOptimizer.java	trsbox	n	int	0	NIL-FOR	i < $
13614	BOBYQAOptimizer.java	trsbox	i	int	0	NIL-FOR	$ < n
13614	BOBYQAOptimizer.java	trsbox	n	int	0	NIL-FOR	i < $
2169	BOBYQAOptimizer.java	trsbox	temp	double	0	DEF	$ > ZERO
2171	BOBYQAOptimizer.java	trsbox	temp	double	0	DEF	$ > ZERO
13615	BOBYQAOptimizer.java	trsbox	i	int	0	NIL-FOR	$ < n
13615	BOBYQAOptimizer.java	trsbox	n	int	0	NIL-FOR	i < $
13616	BOBYQAOptimizer.java	trsbox	iu	int	0	NIL-FOR	i < $
2176	BOBYQAOptimizer.java	trsbox	isav	int	0	DEF	$ < 0
13617	BOBYQAOptimizer.java	trsbox	i	int	0	NIL-FOR	$ < n
13617	BOBYQAOptimizer.java	trsbox	n	int	0	NIL-FOR	i < $
2180	BOBYQAOptimizer.java	trsbox	iact	int	0	DEF	$ >= 0
13618	BOBYQAOptimizer.java	trsbox	i	int	0	NIL-FOR	$ < n
13618	BOBYQAOptimizer.java	trsbox	n	int	0	NIL-FOR	i < $
13619	BOBYQAOptimizer.java	trsbox	j	int	0	NIL-FOR	$ < n
13619	BOBYQAOptimizer.java	trsbox	n	int	0	NIL-FOR	j < $
13620	BOBYQAOptimizer.java	trsbox	j	int	0	NIL-FOR	i <= $
2184	BOBYQAOptimizer.java	trsbox	j	int	0	DEF	i < $
13621	BOBYQAOptimizer.java	trsbox	k	int	0	NIL-FOR	$ < npt
13621	BOBYQAOptimizer.java	trsbox	npt	int	0	NIL-FOR	k < $
13622	BOBYQAOptimizer.java	trsbox	i	int	0	NIL-FOR	$ < n
13622	BOBYQAOptimizer.java	trsbox	n	int	0	NIL-FOR	i < $
13623	BOBYQAOptimizer.java	trsbox	i	int	0	NIL-FOR	$ < n
13623	BOBYQAOptimizer.java	trsbox	n	int	0	NIL-FOR	i < $
13624	BOBYQAOptimizer.java	update	k	int	0	NIL-FOR	$ < npt
13624	BOBYQAOptimizer.java	update	npt	int	0	NIL-FOR	k < $
13625	BOBYQAOptimizer.java	update	nptm	int	0	NIL-FOR	j < $
13626	BOBYQAOptimizer.java	update	nptm	int	0	NIL-FOR	j < $
13627	BOBYQAOptimizer.java	update	i	int	0	NIL-FOR	$ < npt
13627	BOBYQAOptimizer.java	update	npt	int	0	NIL-FOR	i < $
13628	BOBYQAOptimizer.java	update	i	int	0	NIL-FOR	$ < npt
13628	BOBYQAOptimizer.java	update	npt	int	0	NIL-FOR	i < $
13629	BOBYQAOptimizer.java	update	i	int	0	NIL-FOR	$ < npt
13629	BOBYQAOptimizer.java	update	npt	int	0	NIL-FOR	i < $
13630	BOBYQAOptimizer.java	update	j	int	0	NIL-FOR	$ < n
13630	BOBYQAOptimizer.java	update	n	int	0	NIL-FOR	j < $
13631	BOBYQAOptimizer.java	update	jp	int	0	NIL-FOR	i <= $
13632	BOBYQAOptimizer.java	setup	i	int	0	NIL-FOR	$ < dimension
13632	BOBYQAOptimizer.java	setup	dimension	int	0	NIL-FOR	i < $
626	BSPTree.java	insertCut	chopped	SubHyperplane<S>	0	RET	$ == null
632	BSPTree.java	getCell	offset	double	1	RET	$ <= 0
636	BSPTree.java	merge	parentTree	BSPTree<S>	0	DEF	$ != null
637	BSPTree.java	merge	isPlusChild	boolean	1	DEF	$
642	BSPTree.java	insertInTree	parentTree	BSPTree<S>	0	DEF	$ != null
643	BSPTree.java	insertInTree	isPlusChild	boolean	1	DEF	$
13646	BaseAbstractMultivariateOptimizer.java	checkParameters	i	int	0	NIL-FOR	$ < dim
13646	BaseAbstractMultivariateOptimizer.java	checkParameters	dim	int	0	NIL-FOR	i < $
13647	BaseAbstractMultivariateOptimizer.java	checkParameters	i	int	0	NIL-FOR	$ < dim
13647	BaseAbstractMultivariateOptimizer.java	checkParameters	dim	int	0	NIL-FOR	i < $
13648	BaseAbstractMultivariateOptimizer.java	checkParameters	i	int	0	NIL-FOR	$ < dim
13648	BaseAbstractMultivariateOptimizer.java	checkParameters	dim	int	0	NIL-FOR	i < $
13649	BaseAbstractMultivariateOptimizer.java	checkParameters	i	int	0	NIL-FOR	$ < dim
13649	BaseAbstractMultivariateOptimizer.java	checkParameters	dim	int	0	NIL-FOR	i < $
1980	BaseAbstractMultivariateVectorOptimizer.java	optimizeInternal	f	FUNC	0	NullArgumentException	$ == null
1981	BaseAbstractMultivariateVectorOptimizer.java	optimizeInternal	t	double[]	0	NullArgumentException	$ == null
1982	BaseAbstractMultivariateVectorOptimizer.java	optimizeInternal	w	double[]	0	NullArgumentException	$ == null
1983	BaseAbstractMultivariateVectorOptimizer.java	optimizeInternal	startPoint	double[]	0	NullArgumentException	$ == null
13458	BaseAbstractMultivariateVectorOptimizer.java	setUp	i	int	0	NIL-FOR	$ < dim
13458	BaseAbstractMultivariateVectorOptimizer.java	setUp	dim	int	0	NIL-FOR	i < $
4298	BaseAbstractUnivariateIntegrator.java	BaseAbstractUnivariateIntegrator	minimalIterationCount	int	0	NotStrictlyPositiveException	$ <= 0
1823	BaseAbstractUnivariateOptimizer.java	optimize	f	UnivariateFunction	0	NullArgumentException	$ == null
1824	BaseAbstractUnivariateOptimizer.java	optimize	goalType	GoalType	0	NullArgumentException	$ == null
2786	BaseMultiStartMultivariateOptimizer.java	doOptimize	i	int	1	DEF	$ == 0
13872	BaseMultiStartMultivariateOptimizer.java	doOptimize	s	double[]	0	NIL-WHILE	$ == null
13873	BaseMultiStartMultivariateOptimizer.java	doOptimize	s	double[]	0	NIL-FOR	$ != null
2788	BaseMultiStartMultivariateOptimizer.java	doOptimize	min	double[]	0	DEF	$ != null
2788	BaseMultiStartMultivariateOptimizer.java	doOptimize	max	double[]	0	DEF	$ != null
2789	BaseMultiStartMultivariateOptimizer.java	doOptimize	optima	PAIR[]	0	DEF	$.length == 0
1813	BaseMultivariateMultiStartOptimizer.java	BaseMultivariateMultiStartOptimizer	optimizer	BaseMultivariateOptimizer<FUNC>	0	NullArgumentException	$ == null
1813	BaseMultivariateMultiStartOptimizer.java	BaseMultivariateMultiStartOptimizer	generator	RandomVectorGenerator	0	NullArgumentException	$ == null
13874	BaseMultivariateOptimizer.java	checkParameters	i	int	0	NIL-FOR	$ < dim
13874	BaseMultivariateOptimizer.java	checkParameters	dim	int	0	NIL-FOR	i < $
13875	BaseMultivariateOptimizer.java	checkParameters	i	int	0	NIL-FOR	$ < dim
13875	BaseMultivariateOptimizer.java	checkParameters	dim	int	0	NIL-FOR	i < $
1819	BaseMultivariateVectorMultiStartOptimizer.java	BaseMultivariateVectorMultiStartOptimizer	optimizer	BaseMultivariateVectorOptimizer<FUNC>	0	NullArgumentException	$ == null
1819	BaseMultivariateVectorMultiStartOptimizer.java	BaseMultivariateVectorMultiStartOptimizer	generator	RandomVectorGenerator	0	NullArgumentException	$ == null
4287	BaseRuleFactory.java	getRule	numberOfPoints	int	0	NotStrictlyPositiveException	$ <= 0
4288	BaseRuleFactory.java	getRule	cached	Pair<double[],double[]>	0	DEF	$ == null
4289	BaseRuleFactory.java	getRuleInternal	rule	Pair<T[],T[]>	0	RET	$ == null
14776	BaseRuleFactory.java	convertToDouble	len	int	0	NIL-FOR	i < $
4043	BaseSecantSolver.java	doSolve	f0	double	0	RET	$ == 0.0
4044	BaseSecantSolver.java	doSolve	f1	double	0	RET	$ == 0.0
4045	BaseSecantSolver.java	doSolve	fx	double	0	RET	$ == 0.0
4049	BaseSecantSolver.java	doSolve	inverted	boolean	0	RET	$
4050	BaseSecantSolver.java	doSolve	inverted	boolean	0	RET	$
4051	BaseSecantSolver.java	doSolve	f1	double	0	RET	$ <= 0
4052	BaseSecantSolver.java	doSolve	f1	double	0	RET	$ >= 0
3306	Beta.java	regularizedBeta	x	double	1	DEF	Double.isNaN($)
3306	Beta.java	regularizedBeta	x	double	1	DEF	$ > 1
3306	Beta.java	regularizedBeta	x	double	1	DEF	$ < 0
3306	Beta.java	regularizedBeta	a	double	1	DEF	Double.isNaN($)
3306	Beta.java	regularizedBeta	b	double	1	DEF	Double.isNaN($)
3312	Beta.java	logGammaMinusLogGammaSum	a	double	0	NumberIsTooSmallException	$ < 0.0
3315	Beta.java	deltaMinusDeltaSum	a	double	0	OutOfRangeException	$ < 0
14257	Beta.java	deltaMinusDeltaSum	s	double[]	0	NIL-FOR	i < $.length
14258	Beta.java	deltaMinusDeltaSum	i	int	0	NIL-FOR	$ >= 0
14259	Beta.java	sumDeltaMinusDeltaSum	i	int	0	NIL-FOR	$ >= 0
3319	Beta.java	logBeta	p	double	0	RET	Double.isNaN($)
3319	Beta.java	logBeta	q	double	0	RET	Double.isNaN($)
14260	Beta.java	logBeta	i	int	0	NIL-FOR	$ < n
14260	Beta.java	logBeta	n	int	0	NIL-FOR	i < $
1141	BetaDistribution.java	density	x	double	1	RET	$ > 1
1141	BetaDistribution.java	density	x	double	1	RET	$ < 0
1142	BetaDistribution.java	density	x	double	1	NumberIsTooSmallException:RET	$ == 0
1144	BetaDistribution.java	density	x	double	1	NumberIsTooSmallException:RET	$ == 1
1146	BetaDistribution.java	cumulativeProbability	x	double	1	RET	$ <= 0
12985	BiDiagonalTransformer.java	getU	j	int	0	NIL-FOR	$ < m
12985	BiDiagonalTransformer.java	getU	m	int	0	NIL-FOR	j < $
12986	BiDiagonalTransformer.java	getU	i	int	0	NIL-FOR	$ < m
12986	BiDiagonalTransformer.java	getU	m	int	0	NIL-FOR	i < $
12987	BiDiagonalTransformer.java	getU	i	int	0	NIL-FOR	$ < m
12987	BiDiagonalTransformer.java	getU	m	int	0	NIL-FOR	i < $
1573	BiDiagonalTransformer.java	getU	diagOffset	int	0	DEF	$ > 0
1575	BiDiagonalTransformer.java	getB	m	int	1	DEF	$ < n
1576	BiDiagonalTransformer.java	getB	i	int	0	DEF	$ > 0
12991	BiDiagonalTransformer.java	getV	j	int	0	NIL-FOR	$ < n
12991	BiDiagonalTransformer.java	getV	n	int	0	NIL-FOR	j < $
12992	BiDiagonalTransformer.java	getV	i	int	0	NIL-FOR	$ < n
12992	BiDiagonalTransformer.java	getV	n	int	0	NIL-FOR	i < $
12993	BiDiagonalTransformer.java	getV	i	int	0	NIL-FOR	$ < n
12993	BiDiagonalTransformer.java	getV	n	int	0	NIL-FOR	i < $
1580	BiDiagonalTransformer.java	getV	diagOffset	int	0	DEF	$ > 0
12994	BiDiagonalTransformer.java	transformToUpperBiDiagonal	k	int	0	NIL-FOR	$ < n
12994	BiDiagonalTransformer.java	transformToUpperBiDiagonal	n	int	0	NIL-FOR	k < $
12995	BiDiagonalTransformer.java	transformToUpperBiDiagonal	i	int	0	NIL-FOR	$ < m
12995	BiDiagonalTransformer.java	transformToUpperBiDiagonal	m	int	0	NIL-FOR	i < $
12996	BiDiagonalTransformer.java	transformToUpperBiDiagonal	j	int	0	NIL-FOR	$ < n
12996	BiDiagonalTransformer.java	transformToUpperBiDiagonal	n	int	0	NIL-FOR	j < $
12997	BiDiagonalTransformer.java	transformToUpperBiDiagonal	i	int	0	NIL-FOR	$ < m
12997	BiDiagonalTransformer.java	transformToUpperBiDiagonal	m	int	0	NIL-FOR	i < $
12998	BiDiagonalTransformer.java	transformToUpperBiDiagonal	i	int	0	NIL-FOR	$ < m
12998	BiDiagonalTransformer.java	transformToUpperBiDiagonal	m	int	0	NIL-FOR	i < $
12999	BiDiagonalTransformer.java	transformToUpperBiDiagonal	j	int	0	NIL-FOR	$ < n
12999	BiDiagonalTransformer.java	transformToUpperBiDiagonal	n	int	0	NIL-FOR	j < $
13000	BiDiagonalTransformer.java	transformToUpperBiDiagonal	i	int	0	NIL-FOR	$ < m
13000	BiDiagonalTransformer.java	transformToUpperBiDiagonal	m	int	0	NIL-FOR	i < $
13001	BiDiagonalTransformer.java	transformToUpperBiDiagonal	j	int	0	NIL-FOR	$ < n
13001	BiDiagonalTransformer.java	transformToUpperBiDiagonal	n	int	0	NIL-FOR	j < $
13002	BiDiagonalTransformer.java	transformToUpperBiDiagonal	j	int	0	NIL-FOR	$ < n
13002	BiDiagonalTransformer.java	transformToUpperBiDiagonal	n	int	0	NIL-FOR	j < $
13003	BiDiagonalTransformer.java	transformToLowerBiDiagonal	k	int	0	NIL-FOR	$ < m
13003	BiDiagonalTransformer.java	transformToLowerBiDiagonal	m	int	0	NIL-FOR	k < $
13004	BiDiagonalTransformer.java	transformToLowerBiDiagonal	j	int	0	NIL-FOR	$ < n
13004	BiDiagonalTransformer.java	transformToLowerBiDiagonal	n	int	0	NIL-FOR	j < $
13005	BiDiagonalTransformer.java	transformToLowerBiDiagonal	i	int	0	NIL-FOR	$ < m
13005	BiDiagonalTransformer.java	transformToLowerBiDiagonal	m	int	0	NIL-FOR	i < $
13006	BiDiagonalTransformer.java	transformToLowerBiDiagonal	j	int	0	NIL-FOR	$ < n
13006	BiDiagonalTransformer.java	transformToLowerBiDiagonal	n	int	0	NIL-FOR	j < $
13007	BiDiagonalTransformer.java	transformToLowerBiDiagonal	j	int	0	NIL-FOR	$ < n
13007	BiDiagonalTransformer.java	transformToLowerBiDiagonal	n	int	0	NIL-FOR	j < $
13008	BiDiagonalTransformer.java	transformToLowerBiDiagonal	i	int	0	NIL-FOR	$ < m
13008	BiDiagonalTransformer.java	transformToLowerBiDiagonal	m	int	0	NIL-FOR	i < $
13009	BiDiagonalTransformer.java	transformToLowerBiDiagonal	j	int	0	NIL-FOR	$ < n
13009	BiDiagonalTransformer.java	transformToLowerBiDiagonal	n	int	0	NIL-FOR	j < $
13010	BiDiagonalTransformer.java	transformToLowerBiDiagonal	i	int	0	NIL-FOR	$ < m
13010	BiDiagonalTransformer.java	transformToLowerBiDiagonal	m	int	0	NIL-FOR	i < $
13011	BiDiagonalTransformer.java	transformToLowerBiDiagonal	i	int	0	NIL-FOR	$ < m
13011	BiDiagonalTransformer.java	transformToLowerBiDiagonal	m	int	0	NIL-FOR	i < $
3966	BicubicSplineInterpolatingFunction.java	BicubicSplineInterpolatingFunction	xLen	int	0	NoDataException	$ == 0
3966	BicubicSplineInterpolatingFunction.java	BicubicSplineInterpolatingFunction	yLen	int	0	NoDataException	$ == 0
3966	BicubicSplineInterpolatingFunction.java	BicubicSplineInterpolatingFunction	f	double[][]	0	NoDataException	$.length == 0
14564	BicubicSplineInterpolatingFunction.java	BicubicSplineInterpolatingFunction	lastI	int	0	NIL-FOR	i < $
14565	BicubicSplineInterpolatingFunction.java	BicubicSplineInterpolatingFunction	lastJ	int	0	NIL-FOR	j < $
14566	BicubicSplineInterpolatingFunction.java	computePartialDerivatives	lastI	int	0	NIL-FOR	i < $
14567	BicubicSplineInterpolatingFunction.java	computePartialDerivatives	lastJ	int	0	NIL-FOR	j < $
3977	BicubicSplineInterpolatingFunction.java	searchIndex	r	int	0	OutOfRangeException	$ == -1
3978	BicubicSplineInterpolatingFunction.java	searchIndex	r	int	0	RET	$ < 0
3980	BicubicSplineInterpolatingFunction.java	value	x	double	0	OutOfRangeException	$ < 0
3980	BicubicSplineInterpolatingFunction.java	value	x	double	0	OutOfRangeException	$ > 1
3981	BicubicSplineInterpolatingFunction.java	value	y	double	0	OutOfRangeException	$ < 0
3981	BicubicSplineInterpolatingFunction.java	value	y	double	0	OutOfRangeException	$ > 1
3963	BicubicSplineInterpolator.java	interpolate	xval	double[]	0	NoDataException	$.length == 0
3963	BicubicSplineInterpolator.java	interpolate	yval	double[]	0	NoDataException	$.length == 0
3963	BicubicSplineInterpolator.java	interpolate	fval	double[][]	0	NoDataException	$.length == 0
14552	BicubicSplineInterpolator.java	interpolate	xLen	int	0	NIL-FOR	i < $
14553	BicubicSplineInterpolator.java	interpolate	yLen	int	0	NIL-FOR	j < $
14554	BicubicSplineInterpolator.java	interpolate	yLen	int	0	NIL-FOR	j < $
14555	BicubicSplineInterpolator.java	interpolate	xLen	int	0	NIL-FOR	i < $
14556	BicubicSplineInterpolator.java	interpolate	yLen	int	0	NIL-FOR	j < $
14557	BicubicSplineInterpolator.java	interpolate	xLen	int	0	NIL-FOR	i < $
14558	BicubicSplineInterpolator.java	interpolate	xLen	int	0	NIL-FOR	i < $
14559	BicubicSplineInterpolator.java	interpolate	yLen	int	0	NIL-FOR	j < $
14560	BicubicSplineInterpolator.java	interpolate	xLen	int	0	NIL-FOR	i < $
14561	BicubicSplineInterpolator.java	interpolate	yLen	int	0	NIL-FOR	j < $
958	BigFraction.java	BigFraction	value	double	0	MathIllegalArgumentException	Double.isNaN($)
959	BigFraction.java	BigFraction	value	double	0	MathIllegalArgumentException	Double.isInfinite($)
960	BigFraction.java	BigFraction	exponent	long	0	DEF	$ != 0
961	BigFraction.java	BigFraction	sign	long	0	DEF	$ != 0
962	BigFraction.java	BigFraction	k	int	1	DEF	$ < 0
12455	BigFraction.java	BigFraction	stop	boolean	0	NIL-DOWHILE	$
969	BigFraction.java	getReducedFraction	numerator	int	0	RET	$ == 0
970	BigFraction.java	add	fraction	BigFraction	0	NullArgumentException	$ == null
973	BigFraction.java	divide	bg	BigInteger	0	NullArgumentException	$ == null
975	BigFraction.java	divide	fraction	BigFraction	0	NullArgumentException	$ == null
977	BigFraction.java	doubleValue	result	double	0	DEF	Double.isNaN($)
978	BigFraction.java	equals	THIS	BigFraction	1	DEF	$ == other
978	BigFraction.java	equals	other	Object	1	DEF	this == $
980	BigFraction.java	floatValue	result	float	0	DEF	Double.isNaN($)
981	BigFraction.java	multiply	bg	BigInteger	0	NullArgumentException	$ == null
982	BigFraction.java	multiply	fraction	BigFraction	0	NullArgumentException	$ == null
984	BigFraction.java	pow	exponent	int	0	RET	$ < 0
985	BigFraction.java	pow	exponent	long	0	RET	$ < 0
987	BigFraction.java	subtract	bg	BigInteger	0	NullArgumentException	$ == null
988	BigFraction.java	subtract	fraction	BigFraction	0	NullArgumentException	$ == null
997	BigFractionFormat.java	parse	num	BigInteger	0	RET	$ == null
998	BigFractionFormat.java	parse	den	BigInteger	0	RET	$ == null
219	BigReal.java	equals	THIS	BigReal	0	RET	$ == other
219	BigReal.java	equals	other	Object	0	RET	this == $
1212	BinomialDistribution.java	BinomialDistribution	trials	int	0	NotPositiveException	$ < 0
1213	BinomialDistribution.java	BinomialDistribution	p	double	0	OutOfRangeException	$ < 0
1213	BinomialDistribution.java	BinomialDistribution	p	double	0	OutOfRangeException	$ > 1
1214	BinomialDistribution.java	probability	x	int	1	DEF	$ < 0
1215	BinomialDistribution.java	cumulativeProbability	x	int	1	DEF	$ < 0
14183	BitsStreamGenerator.java	nextBytes	iEnd	int	0	NIL-WHILE	i < $
14184	BitsStreamGenerator.java	nextBytes	bytes	byte[]	0	NIL-WHILE	i < $.length
3153	BitsStreamGenerator.java	nextInt	n	int	0	RET	$ > 0
3155	BitsStreamGenerator.java	nextLong	n	long	0	RET	$ > 0
1312	BlockFieldMatrix.java	BlockFieldMatrix	copyArray	boolean	1	DEF	$
12547	BlockFieldMatrix.java	BlockFieldMatrix	THIS	BlockFieldMatrix	0	NIL-FOR	iBlock < $.blockRows
12547	BlockFieldMatrix.java	BlockFieldMatrix	iBlock	int	0	NIL-FOR	$ < blockRows
